Posicion;id;Descripción;Cantidad
A - C1 - N1;315077016;Pitillo rosado;90
A - C1 - N2;127082707;Triángulo verde plano;181
A - C1 - N3;340311077;Rectángulo 16 puntos azul / morado - Porta ejes negro redondo;117
A - C1 - N4;310302700;Rectángulo 16 puntos rojo - Rectángulo 8 puntos morado;106
A - C1 - N5;304600205;Llantas negras;193
A - C1 - N6;310080818;Pelota ping pong amarilla;89
A - C1 - N7;127082718;Tapa amarilla;95
A - C1 - N8;310010087;Rectángulo 16 puntos amarillo - Rines rojos;120
A - C2 - N1;310080821;Rectángulo 16 puntos verde - Triángulo negro;119
A - C2 - N2;127082708;Triángulo fucsia plano;180
A - C2 - N3;318900004;Rectángulo 2 puntos gris - Rectángulo 8 puntos morado;110
A - C2 - N4;318900007;Rectángulo 8 puntos amarillo - Rines rojos;110
A - C2 - N5;127082730;Pinza amarilla;102
A - C2 - N6;310012011;Rectángulo 8 puntos morado;120
A - C2 - N7;304600011;Pelotas ping pong azul;64
A - C2 - N8;310082500;Porta ejes negro redondo - Rectángulo 8 puntos gris;106
A - C3 - N1;303390111;Pelota ping pong morado;107
A - C3 - N2;127082709;Rectángulo 16 puntos aguamarina;115
A - C3 - N3;333390434;Rectángulo 16 puntos verde - Rectángulo 8 puntos amarillo;119
A - C3 - N4;360750006;Rectángulo 16 puntos rojo - Rectángulo 8 puntos gris;80
A - C3 - N5;304600207;Rectángulo 8 puntos rojo;91
A - C3 - N6;340300613;Rectángulo 8 puntos amarillo - Porta ejes negro cuadrado;96
A - C3 - N7;310096407;Rectángulo 8 puntos amarillo;96
A - C3 - N8;310084500;Rectángulo 8 puntos gris - Triángulo negro;112
A - C4 - N1;305660053;Rectángulo 8 puntos amarillo - Triángulo negro;118
A - C4 - N2;127082710;Rectángulo 16 puntos azul - Rectángulo 8 puntos azul;86
A - C4 - N3;310015020;Llantas negras - Rines verde;103
A - C4 - N4;127082716;Pinza azul / morado;92
A - C4 - N5;310099993;Rines rojos;100
A - C4 - N6;310092017;Triángulo amarillo plano;178
A - C4 - N7;310720007;Triángulo rojo plano;176
